City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
77,stornoway,58.2093,-6.3865,10.61,86,40,7.2,GB,2025-01-13
78,westport,41.1415,-73.3579,5.15,60,100,4.63,US,2025-01-13
79,klyuchi,52.2667,79.1667,-12.21,91,14,4.14,RU,2025-01-13
80,ribeira brava,32.65,-17.0667,18.35,81,0,1.63,PT,2025-01-13
81,punta arenas,-53.15,-70.9167,15.06,47,0,12.35,CL,2025-01-13
82,cherlak,54.155,74.8055,-14.31,86,92,3.16,RU,2025-01-13
83,summit park,40.7458,-111.6116,-5.03,74,92,4.02,US,2025-01-13
84,aswan,24.0934,32.907,19.61,34,0,3.09,EG,2025-01-13
85,whitehorse,60.7161,-135.0538,1.43,64,75,5.14,CA,2025-01-13
86,rongelap,11.1635,166.8941,26.84,78,100,10.79,MH,2025-01-13
87,dali,25.7,100.1833,5.81,81,0,1.91,CN,2025-01-13
88,khandyga,62.6667,135.6,-25.52,100,100,0.7,RU,2025-01-13
89,utrik,11.2278,169.8474,26.4,79,44,10.97,MH,2025-01-13
90,tiksi,71.6872,128.8694,-38.54,100,93,2.18,RU,2025-01-13
91,flying fish cove,-10.4217,105.6791,23.82,94,66,2.06,CX,2025-01-13
92,mtambile,-5.3833,39.7,27.0,80,77,8.84,TZ,2025-01-13
93,aoulef,26.9667,1.0833,15.18,21,0,7.58,DZ,2025-01-13
94,nchelenge,-9.3451,28.734,23.26,78,100,1.54,ZM,2025-01-13
95,bardai,11.65,7.2333,22.16,19,96,4.24,NG,2025-01-13
96,thompson,55.7435,-97.8558,-18.91,78,75,2.57,CA,2025-01-13
97,liwale,-9.7667,37.9333,22.35,97,100,1.6,TZ,2025-01-13
98,hirara,24.8,125.2833,15.15,67,75,2.06,JP,2025-01-13
99,riberalta,-10.9833,-66.1,29.11,79,75,6.17,BO,2025-01-13
100,hami,42.8,93.45,-6.2,62,0,1.37,CN,2025-01-13
101,margaret river,-33.95,115.0667,16.62,76,83,7.29,AU,2025-01-13
102,stanley,54.868,-1.6985,8.01,84,20,8.23,GB,2025-01-13
103,medicine hat,50.0501,-110.6683,-2.05,74,75,6.17,CA,2025-01-13
104,sandnessjoen,66.0217,12.6316,5.23,93,75,9.77,NO,2025-01-13
105,marina di massa,44.0095,10.1019,7.84,45,24,3.85,IT,2025-01-13
106,papatowai,-46.5619,169.4708,11.58,89,100,3.4,NZ,2025-01-13
107,djenne,13.9061,-4.5533,26.54,12,49,2.66,ML,2025-01-13
108,kapuskasing,49.4169,-82.4331,-6.95,93,75,4.12,CA,2025-01-13
109,island harbour,50.724,-1.2758,5.04,83,100,1.79,GB,2025-01-13
110,nizhneudinsk,54.9076,99.0276,-12.75,80,100,1.78,RU,2025-01-13
111,zag,46.9441,99.165,-32.08,88,5,1.69,MN,2025-01-13
112,daru,-9.0763,143.2092,25.8,87,100,2.37,PG,2025-01-13
113,fort bragg,35.139,-79.006,11.57,41,75,2.06,US,2025-01-13
114,afaahiti,-17.75,-149.2833,26.6,80,82,11.91,PF,2025-01-13
115,bull savanna,17.8868,-77.5902,25.22,68,65,4.65,JM,2025-01-13
116,bel ombre,-4.6167,55.4167,26.54,71,48,1.12,SC,2025-01-13
117,onega,63.9061,38.1404,-4.45,83,100,5.93,RU,2025-01-13
118,qionghai,19.2425,110.4642,18.46,98,100,1.36,CN,2025-01-13
119,hawaiian paradise park,19.5933,-154.9731,22.72,98,100,1.54,US,2025-01-13
120,weno,7.4515,151.8468,27.97,83,40,4.12,FM,2025-01-13
121,longyearbyen,78.2186,15.6401,-12.09,72,75,3.09,SJ,2025-01-13
122,atamyrat,37.8357,65.2106,7.69,42,13,2.67,TM,2025-01-13
123,vilyuchinsk,52.9306,158.4028,-16.85,88,4,4.14,RU,2025-01-13
124,basco,20.4487,121.9702,21.94,73,100,11.39,PH,2025-01-13
125,kill devil hills,36.0307,-75.676,9.43,52,0,3.09,US,2025-01-13
126,saguenay,48.4168,-71.0657,-6.07,75,100,2.57,CA,2025-01-13
127,sao jose da coroa grande,-8.8978,-35.1478,26.97,78,96,5.63,BR,2025-01-13
128,talnakh,69.4865,88.3972,-20.39,96,100,4.75,RU,2025-01-13
129,buka,40.8108,69.1986,2.89,44,0,0.28,UZ,2025-01-13
130,vernon,50.2581,-119.2691,-0.26,86,93,0.0,CA,2025-01-13
131,williston,48.147,-103.618,-15.54,80,100,3.21,US,2025-01-13
132,rosario del tala,-32.3029,-59.1455,36.0,15,2,3.56,AR,2025-01-13
133,sijunjung,-0.6876,100.9537,22.55,99,100,0.33,ID,2025-01-13
134,usogorsk,63.4106,48.6872,-18.52,100,88,2.0,RU,2025-01-13
135,hermanus,-34.4187,19.2345,21.56,83,99,4.74,ZA,2025-01-13
136,torres,-29.3353,-49.7269,24.19,63,22,4.32,BR,2025-01-13
137,lasem,-6.6922,111.4527,25.42,89,100,1.89,ID,2025-01-13
138,banikoara,11.2985,2.4386,26.64,14,55,2.06,BJ,2025-01-13
139,korenovsk,45.4686,39.4519,0.15,100,100,2.86,RU,2025-01-13
140,kurumkan,54.3,110.3,-23.34,92,100,1.85,RU,2025-01-13
141,mount gambier,-37.8333,140.7667,13.67,96,13,2.33,AU,2025-01-13
142,keflavik,64.0049,-22.5624,5.24,100,75,8.23,IS,2025-01-13
143,jamestown,42.097,-79.2353,-3.32,75,100,4.63,US,2025-01-13
144,yelizovo,53.1873,158.3805,-16.92,60,0,5.0,RU,2025-01-13
145,beaufort west,-32.3567,22.583,26.19,24,0,2.52,ZA,2025-01-13
146,acarau,-2.8856,-40.12,28.14,69,100,5.47,BR,2025-01-13
147,broome,42.2506,-75.833,3.14,55,0,6.17,US,2025-01-13
148,colares,38.7992,-9.4469,11.88,56,0,3.09,PT,2025-01-13
149,kantunilkin,21.0917,-87.45,28.13,72,100,1.92,MX,2025-01-13
150,samarinda,-0.5,117.15,22.78,99,98,0.72,ID,2025-01-13
151,constantia,44.1833,28.65,0.39,70,100,8.23,RO,2025-01-13
152,labytnangi,66.6572,66.4183,-16.03,89,9,5.08,RU,2025-01-13
153,margate,51.3813,1.3862,3.16,87,100,5.12,GB,2025-01-13
154,ancud,-41.8697,-73.8203,14.92,52,75,5.46,CL,2025-01-13
155,emmett,43.8735,-116.4993,3.65,50,91,1.74,US,2025-01-13
156,saint-denis,48.9167,2.3333,1.19,77,0,4.12,FR,2025-01-13
157,colonia,50.9333,6.95,-1.13,83,0,4.12,DE,2025-01-13
158,buala,-8.145,159.5921,26.51,83,50,1.76,SB,2025-01-13
159,tsiombe,-25.3,45.4833,25.05,93,9,2.2,MG,2025-01-13
160,port alfred,-33.5906,26.891,21.21,84,8,1.79,ZA,2025-01-13
161,bay harbor,30.1471,-85.6146,9.04,95,100,4.12,US,2025-01-13
162,lihue,21.9789,-159.3672,24.77,73,100,5.66,US,2025-01-13
163,newman,37.3138,-121.0208,12.8,45,0,4.02,US,2025-01-13
164,choma,-16.8065,26.9531,20.96,77,100,0.62,ZM,2025-01-13
165,fethiye,36.6217,29.1164,14.25,84,100,1.69,TR,2025-01-13
166,lompoc,34.6391,-120.4579,17.4,44,0,1.54,US,2025-01-13
167,redencao,-4.2258,-38.7306,26.52,80,98,1.75,BR,2025-01-13
168,faruka,31.8872,72.4144,10.86,27,57,2.12,PK,2025-01-13
169,nuuk,64.1835,-51.7216,-13.66,66,20,8.75,GL,2025-01-13
170,ponta delgada,37.7333,-25.6667,18.44,88,75,6.17,PT,2025-01-13
171,pirallahi,40.4723,50.333,3.08,83,0,4.61,AZ,2025-01-13
172,tambacounda,13.7539,-13.7586,32.03,33,0,2.06,SN,2025-01-13
173,likasi,-10.9814,26.7333,18.71,92,100,0.71,CD,2025-01-13
174,santiago del torno,-17.9833,-63.3833,31.42,46,86,1.34,BO,2025-01-13
175,hithadhoo,-0.6,73.0833,27.63,76,99,5.21,MV,2025-01-13
176,chegdomyn,51.1167,133.0167,-22.01,99,100,0.34,RU,2025-01-13
177,esperanza,19.5847,-70.9849,29.05,67,8,1.79,DO,2025-01-13
178,bedele,8.456,36.353,17.06,51,96,2.0,ET,2025-01-13
179,lebu,-37.6167,-73.65,16.17,67,97,7.99,CL,2025-01-13
180,nema,57.5067,50.5011,-6.69,98,100,1.63,RU,2025-01-13
181,fisterra,42.9049,-9.2629,12.56,47,74,2.07,ES,2025-01-13
